instance_name,source_kind,source_path,graph_type,n,repetition,seed,initial_cost,best_cost,reference_cost,relative_error_percent,time_ms,iterations,accepted_moves,improved_moves,best_tour
asym_n10_01,generated,data/generated/asym_n10_01.txt,asymmetric,10,3,22347,1860,1860,1860,0.000000,19.342708,200000,29226,0,4 7 0 5 9 2 1 6 8 3
asym_n10_01,generated,data/generated/asym_n10_01.txt,asymmetric,10,4,22348,1860,1860,1860,0.000000,19.289750,200000,29636,0,4 7 0 5 9 2 1 6 8 3
asym_n10_01,generated,data/generated/asym_n10_01.txt,asymmetric,10,5,22349,1860,1860,1860,0.000000,19.429209,200000,28908,0,4 7 0 5 9 2 1 6 8 3
asym_n10_02,generated,data/generated/asym_n10_02.txt,asymmetric,10,1,22345,1898,1898,1898,0.000000,19.473750,200000,26441,0,6 9 0 2 5 8 3 7 4 1
asym_n10_02,generated,data/generated/asym_n10_02.txt,asymmetric,10,2,22346,1898,1898,1898,0.000000,19.417667,200000,26193,0,6 9 0 2 5 8 3 7 4 1
asym_n10_02,generated,data/generated/asym_n10_02.txt,asymmetric,10,3,22347,1898,1898,1898,0.000000,19.479625,200000,26565,0,6 9 0 2 5 8 3 7 4 1
asym_n10_02,generated,data/generated/asym_n10_02.txt,asymmetric,10,4,22348,1898,1898,1898,0.000000,19.287625,200000,26540,0,6 9 0 2 5 8 3 7 4 1
asym_n10_02,generated,data/generated/asym_n10_02.txt,asymmetric,10,5,22349,1898,1898,1898,0.000000,19.297833,200000,26412,0,6 9 0 2 5 8 3 7 4 1
asym_n10_03,generated,data/generated/asym_n10_03.txt,asymmetric,10,1,22345,1575,1503,1503,0.000000,19.641958,200000,31628,2,0 4 8 7 6 2 9 1 5 3
asym_n10_03,generated,data/generated/asym_n10_03.txt,asymmetric,10,2,22346,1575,1503,1503,0.000000,19.867667,200000,31603,1,2 9 1 5 3 0 4 8 7 6
asym_n10_03,generated,data/generated/asym_n10_03.txt,asymmetric,10,3,22347,1575,1503,1503,0.000000,20.304750,200000,31884,1,1 5 3 0 4 8 7 6 2 9
asym_n10_03,generated,data/generated/asym_n10_03.txt,asymmetric,10,4,22348,1575,1503,1503,0.000000,21.102334,200000,32198,1,2 9 1 5 3 0 4 8 7 6
asym_n10_03,generated,data/generated/asym_n10_03.txt,asymmetric,10,5,22349,1575,1503,1503,0.000000,20.287958,200000,31742,1,5 3 0 4 8 7 6 2 9 1
sym_n10_01,generated,data/generated/sym_n10_01.txt,symmetric,10,1,22345,1422,1422,1422,0.000000,19.773208,200000,50024,0,5 7 8 9 2 1 0 3 6 4
sym_n10_01,generated,data/generated/sym_n10_01.txt,symmetric,10,2,22346,1422,1422,1422,0.000000,19.885042,200000,50227,0,5 7 8 9 2 1 0 3 6 4
sym_n10_01,generated,data/generated/sym_n10_01.txt,symmetric,10,3,22347,1422,1422,1422,0.000000,19.898834,200000,50143,0,5 7 8 9 2 1 0 3 6 4
sym_n10_01,generated,data/generated/sym_n10_01.txt,symmetric,10,4,22348,1422,1422,1422,0.000000,19.501666,200000,50102,0,5 7 8 9 2 1 0 3 6 4
sym_n10_01,generated,data/generated/sym_n10_01.txt,symmetric,10,5,22349,1422,1422,1422,0.000000,19.605291,200000,49957,0,5 7 8 9 2 1 0 3 6 4
sym_n10_02,generated,data/generated/sym_n10_02.txt,symmetric,10,1,22345,2365,2365,2365,0.000000,20.318500,200000,50351,0,4 0 1 8 9 7 3 5 2 6
sym_n10_02,generated,data/generated/sym_n10_02.txt,symmetric,10,2,22346,2365,2365,2365,0.000000,19.531417,200000,50199,0,4 0 1 8 9 7 3 5 2 6
sym_n10_02,generated,data/generated/sym_n10_02.txt,symmetric,10,3,22347,2365,2365,2365,0.000000,19.617167,200000,50291,0,4 0 1 8 9 7 3 5 2 6
sym_n10_02,generated,data/generated/sym_n10_02.txt,symmetric,10,4,22348,2365,2365,2365,0.000000,19.558542,200000,50518,0,4 0 1 8 9 7 3 5 2 6
sym_n10_02,generated,data/generated/sym_n10_02.txt,symmetric,10,5,22349,2365,2365,2365,0.000000,19.619000,200000,50305,0,4 0 1 8 9 7 3 5 2 6
sym_n10_03,generated,data/generated/sym_n10_03.txt,symmetric,10,1,22345,1793,1770,1770,0.000000,19.768916,200000,52841,1,9 0 5 2 8 3 6 1 7 4
sym_n10_03,generated,data/generated/sym_n10_03.txt,symmetric,10,2,22346,1793,1770,1770,0.000000,19.548000,200000,52560,1,0 9 4 7 1 6 3 8 2 5
sym_n10_03,generated,data/generated/sym_n10_03.txt,symmetric,10,3,22347,1793,1770,1770,0.000000,19.811042,200000,52736,2,5 2 8 3 6 1 7 4 9 0
sym_n10_03,generated,data/generated/sym_n10_03.txt,symmetric,10,4,22348,1793,1770,1770,0.000000,19.763417,200000,53125,1,6 1 7 4 9 0 5 2 8 3
sym_n10_03,generated,data/generated/sym_n10_03.txt,symmetric,10,5,22349,1793,1770,1770,0.000000,19.747750,200000,52397,2,8 3 6 1 7 4 9 0 5 2
